area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
4352,4,1,2,no,no,no,no,no,1,no,unfurnished
5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
3745,3,1,2,yes,no,yes,no,no,0,no,furnished
3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
3635,2,1,1,no,no,no,no,no,0,no,unfurnished
10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
4500,2,1,1,yes,no,no,no,yes,2,no,furnished
12090,4,2,2,yes,no,no,no,no,2,yes,furnished
9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
2145,3,1,3,yes,no,no,no,no,0,yes,furnished
4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
9000,4,2,4,yes,no,no,no,yes,2,no,furnished
5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
2640,2,1,1,no,no,no,no,no,1,no,furnished
8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
